row,column,hsv,h,s,v
0,0,"(240, 1, 98)",240,1,98
0,1,"(21, 17, 31)",21,17,31
0,2,"(220, 6, 21)",220,6,21
0,3,"(50, 33, 100)",50,33,100
0,4,"(341, 72, 74)",341,72,74
0,5,"(138, 58, 68)",138,58,68
0,6,"(170, 89, 39)",170,89,39
0,7,"(206, 83, 72)",206,83,72
0,8,"(227, 43, 41)",227,43,41
0,9,"(261, 39, 45)",261,39,45
1,0,"(44, 6, 93)",44,6,93
1,1,"(356, 30, 38)",356,30,38
1,2,"(330, 14, 96)",330,14,96
1,3,"(52, 50, 100)",52,50,100
1,4,"(337, 91, 63)",337,91,63
1,5,"(151, 82, 53)",151,82,53
1,6,"(183, 82, 73)",183,82,73
1,7,"(216, 42, 78)",216,42,78
1,8,"(260, 30, 35)",260,30,35
1,9,"(265, 50, 35)",265,50,35
2,0,"(40, 8, 89)",40,8,89
2,1,"(355, 31, 28)",355,31,28
2,2,"(109, 10, 89)",109,10,89
2,3,"(52, 56, 100)",52,56,100
2,4,"(332, 53, 89)",332,53,89
2,5,"(155, 62, 45)",155,62,45
2,6,"(187, 87, 53)",187,87,53
2,7,"(219, 64, 66)",219,64,66
2,8,"(217, 49, 36)",217,49,36
2,9,"(323, 44, 78)",323,44,78
3,0,"(11, 13, 64)",11,13,64
3,1,"(48, 2, 82)",48,2,82
3,2,"(185, 15, 89)",185,15,89
3,3,"(52, 62, 99)",52,62,99
3,4,"(334, 67, 77)",334,67,77
3,5,"(158, 58, 35)",158,58,35
3,6,"(199, 50, 91)",199,50,91
3,7,"(222, 69, 60)",222,69,60
3,8,"(251, 42, 44)",251,42,44
3,9,"(316, 52, 60)",316,52,60
4,0,"(19, 19, 51)",19,19,51
4,1,"(100, 2, 74)",100,2,74
4,2,"(207, 16, 94)",207,16,94
4,3,"(349, 76, 82)",349,76,82
4,4,"(328, 65, 72)",328,65,72
4,5,"(160, 65, 28)",160,65,28
4,6,"(196, 87, 73)",196,87,73
4,7,"(215, 86, 43)",215,86,43
4,8,"(273, 33, 68)",273,33,68
4,9,"(317, 55, 45)",317,55,45
5,0,"(19, 13, 66)",19,13,66
5,1,"(180, 4, 58)",180,4,58
5,2,"(228, 10, 93)",228,10,93
5,3,"(340, 92, 74)",340,92,74
5,4,"(331, 59, 61)",331,59,61
5,5,"(163, 76, 67)",163,76,67
5,6,"(195, 90, 59)",195,90,59
5,7,"(246, 36, 33)",246,36,33
5,8,"(288, 44, 54)",288,44,54
5,9,"(321, 42, 37)",321,42,37
6,0,"(16, 11, 52)",16,11,52
6,1,"(196, 12, 37)",196,12,37
6,2,"(336, 12, 96)",336,12,96
6,3,"(340, 90, 66)",340,90,66
6,4,"(329, 48, 46)",329,48,46
6,5,"(160, 76, 54)",160,76,54
6,6,"(206, 55, 83)",206,55,83
6,7,"(218, 56, 52)",218,56,52
6,8,"(245, 42, 59)",245,42,59
6,9,"(323, 65, 27)",323,65,27
