row,column,rgb
0,0,"(247, 247, 249)"
0,1,"(80, 71, 66)"
0,2,"(50, 51, 53)"
0,3,"(254, 240, 169)"
0,4,"(189, 52, 96)"
0,5,"(73, 173, 103)"
0,6,"(11, 99, 85)"
0,7,"(31, 116, 183)"
0,8,"(59, 69, 104)"
0,9,"(86, 70, 115)"
1,0,"(238, 234, 223)"
1,1,"(96, 67, 69)"
1,2,"(244, 210, 227)"
1,3,"(254, 238, 127)"
1,4,"(160, 15, 70)"
1,5,"(25, 136, 83)"
1,6,"(33, 177, 185)"
1,7,"(116, 149, 200)"
1,8,"(71, 62, 89)"
1,9,"(64, 45, 90)"
2,0,"(226, 220, 208)"
2,1,"(71, 49, 51)"
2,2,"(208, 226, 204)"
2,3,"(254, 236, 112)"
2,4,"(226, 107, 163)"
2,5,"(43, 114, 84)"
2,6,"(17, 123, 136)"
2,7,"(61, 98, 168)"
2,8,"(46, 63, 91)"
2,9,"(198, 111, 164)"
3,0,"(164, 146, 142)"
3,1,"(210, 209, 205)"
3,2,"(194, 225, 228)"
3,3,"(252, 232, 97)"
3,4,"(196, 64, 122)"
3,5,"(37, 88, 69)"
3,6,"(116, 196, 233)"
3,7,"(48, 80, 153)"
3,8,"(75, 66, 113)"
3,9,"(154, 74, 133)"
4,0,"(129, 112, 104)"
4,1,"(187, 189, 186)"
4,2,"(202, 223, 240)"
4,3,"(208, 49, 79)"
4,4,"(183, 64, 128)"
4,5,"(25, 72, 56)"
4,6,"(24, 143, 185)"
4,7,"(15, 54, 109)"
4,8,"(148, 117, 174)"
4,9,"(115, 52, 97)"
5,0,"(168, 153, 146)"
5,1,"(141, 147, 147)"
5,2,"(212, 217, 236)"
5,3,"(189, 15, 74)"
5,4,"(155, 64, 108)"
5,5,"(41, 171, 135)"
5,6,"(15, 118, 151)"
5,7,"(57, 54, 85)"
5,8,"(125, 77, 137)"
5,9,"(95, 55, 81)"
6,0,"(132, 121, 117)"
6,1,"(83, 91, 94)"
6,2,"(246, 216, 228)"
6,3,"(169, 17, 68)"
6,4,"(117, 61, 90)"
6,5,"(33, 137, 102)"
6,6,"(96, 162, 212)"
6,7,"(58, 86, 133)"
6,8,"(92, 87, 151)"
6,9,"(68, 24, 51)"
