row,column,lab,l,a,b,season,Season
0,7,"(56.43, 67.75, -2.98)",56.43,67.75,-2.98,bs,Bright Spring
0,8,"(63.18, 61.73, -2.11)",63.18,61.73,-2.11,bs,Bright Spring
0,9,"(45.78, 61.48, 7.5)",45.78,61.48,7.5,bs,Bright Spring
1,0,"(71.06, -1.58, 0.03)",71.06,-1.58,0.03,bs,Bright Spring
1,1,"(64.61, -4.16, 1.5)",64.61,-4.16,1.5,bs,Bright Spring
1,2,"(39.61, -2.73, 0.34)",39.61,-2.73,0.34,bs,Bright Spring
1,3,"(27.05, -3.88, -0.64)",27.05,-3.88,-0.64,bs,Bright Spring
1,4,"(12.19, 0.0, 0.0)",12.19,0.0,0.0,bs,Bright Spring
1,5,"(83.19, -23.78, 47.22)",83.19,-23.78,47.22,bs,Bright Spring
1,6,"(70.71, -32.3, 51.27)",70.71,-32.3,51.27,bs,Bright Spring
1,7,"(55.79, -40.67, 42.64)",55.79,-40.67,42.64,bs,Bright Spring
1,8,"(41.69, -34.78, 29.03)",41.69,-34.78,29.03,bs,Bright Spring
1,9,"(28.34, -20.91, 14.41)",28.34,-20.91,14.41,bs,Bright Spring
2,0,"(74.06, -0.19, 5.06)",74.06,-0.19,5.06,bs,Bright Spring
2,1,"(40.84, 2.34, 6.59)",40.84,2.34,6.59,bs,Bright Spring
2,2,"(18.58, 2.78, 1.03)",18.58,2.78,1.03,bs,Bright Spring
2,3,"(35.19, 3.23, -38.88)",35.19,3.23,-38.88,bs,Bright Spring
2,4,"(26.7, 1.58, -28.5)",26.7,1.58,-28.5,bs,Bright Spring
2,5,"(71.07, -59.09, 33.09)",71.07,-59.09,33.09,bs,Bright Spring
2,6,"(52.2, -46.86, 25.95)",52.2,-46.86,25.95,bs,Bright Spring
2,7,"(39.0, -36.59, 19.95)",39.0,-36.59,19.95,bs,Bright Spring
2,8,"(60.91, -50.42, 22.33)",60.91,-50.42,22.33,bs,Bright Spring
2,9,"(33.45, -28.55, 10.14)",33.45,-28.55,10.14,bs,Bright Spring
3,0,"(88.42, -5.91, 27.28)",88.42,-5.91,27.28,bs,Bright Spring
3,1,"(85.38, 15.16, 12.38)",85.38,15.16,12.38,bs,Bright Spring
3,2,"(85.95, -23.11, -0.8)",85.95,-23.11,-0.8,bs,Bright Spring
3,3,"(86.71, -17.19, -12.27)",86.71,-17.19,-12.27,bs,Bright Spring
3,4,"(78.7, 6.3, -21.53)",78.7,6.3,-21.53,bs,Bright Spring
3,5,"(78.34, -35.67, -11.89)",78.34,-35.67,-11.89,bs,Bright Spring
3,6,"(67.63, -36.16, -10.12)",67.63,-36.16,-10.12,bs,Bright Spring
3,7,"(50.05, -30.5, -3.73)",50.05,-30.5,-3.73,bs,Bright Spring
3,8,"(64.94, -28.33, -18.58)",64.94,-28.33,-18.58,bs,Bright Spring
3,9,"(38.04, -18.64, -12.16)",38.04,-18.64,-12.16,bs,Bright Spring
4,0,"(85.46, 2.77, 60.34)",85.46,2.77,60.34,bs,Bright Spring
4,1,"(82.54, 9.28, 51.91)",82.54,9.28,51.91,bs,Bright Spring
4,2,"(74.36, 14.33, 59.69)",74.36,14.33,59.69,bs,Bright Spring
4,3,"(67.5, 20.28, 44.16)",67.5,20.28,44.16,bs,Bright Spring
4,4,"(42.58, 45.77, 31.67)",42.58,45.77,31.67,bs,Bright Spring
4,5,"(62.8, -9.08, -36.75)",62.8,-9.08,-36.75,bs,Bright Spring
4,6,"(45.94, 3.28, -47.06)",45.94,3.28,-47.06,bs,Bright Spring
4,7,"(57.48, 30.41, -36.28)",57.48,30.41,-36.28,bs,Bright Spring
4,8,"(41.22, 31.55, -40.28)",41.22,31.55,-40.28,bs,Bright Spring
4,9,"(24.29, 23.12, -37.33)",24.29,23.12,-37.33,bs,Bright Spring
5,0,"(77.14, 29.31, 10.27)",77.14,29.31,10.27,bs,Bright Spring
5,1,"(70.33, 41.7, 23.28)",70.33,41.7,23.28,bs,Bright Spring
5,2,"(57.33, 58.91, 30.75)",57.33,58.91,30.75,bs,Bright Spring
5,3,"(66.3, 47.56, 37.45)",66.3,47.56,37.45,bs,Bright Spring
5,4,"(53.16, 61.8, 33.84)",53.16,61.8,33.84,bs,Bright Spring
5,5,"(69.35, 45.36, -12.27)",69.35,45.36,-12.27,bs,Bright Spring
5,6,"(55.29, 59.81, -9.11)",55.29,59.81,-9.11,bs,Bright Spring
5,7,"(33.08, 45.67, -7.36)",33.08,45.67,-7.36,bs,Bright Spring
6,0,"(75.66, 34.05, -0.62)",75.66,34.05,-0.62,bs,Bright Spring
6,1,"(69.04, 47.08, 2.47)",69.04,47.08,2.47,bs,Bright Spring
6,2,"(52.76, 60.39, 13.62)",52.76,60.39,13.62,bs,Bright Spring
6,3,"(67.36, 50.97, 12.52)",67.36,50.97,12.52,bs,Bright Spring
6,4,"(50.67, 61.03, 19.62)",50.67,61.03,19.62,bs,Bright Spring
0,0,"(89.96, -1.39, 6.08)",89.96,-1.39,6.08,ls,Light Summer
0,1,"(84.37, -1.5, 9.98)",84.37,-1.5,9.98,ls,Light Summer
0,2,"(76.75, -1.42, 6.28)",76.75,-1.42,6.28,ls,Light Summer
0,3,"(65.45, 0.97, 6.77)",65.45,0.97,6.77,ls,Light Summer
0,4,"(52.53, 0.97, 4.0)",52.53,0.97,4.0,ls,Light Summer
0,5,"(81.32, -37.67, 8.56)",81.32,-37.67,8.56,ls,Light Summer
0,6,"(71.98, -52.28, 13.59)",71.98,-52.28,13.59,ls,Light Summer
0,7,"(59.97, -41.5, 6.41)",59.97,-41.5,6.41,ls,Light Summer
0,8,"(58.25, -44.34, 13.19)",58.25,-44.34,13.19,ls,Light Summer
0,9,"(38.68, -28.34, 7.14)",38.68,-28.34,7.14,ls,Light Summer
1,0,"(73.51, -2.08, -0.73)",73.51,-2.08,-0.73,ls,Light Summer
1,1,"(60.49, -3.75, -0.7)",60.49,-3.75,-0.7,ls,Light Summer
1,2,"(48.57, -2.22, -0.78)",48.57,-2.22,-0.78,ls,Light Summer
1,3,"(60.19, -6.27, -6.89)",60.19,-6.27,-6.89,ls,Light Summer
1,4,"(42.72, -6.09, -10.31)",42.72,-6.09,-10.31,ls,Light Summer
1,5,"(80.1, -40.39, 3.55)",80.1,-40.39,3.55,ls,Light Summer
1,6,"(72.43, -47.36, 3.48)",72.43,-47.36,3.48,ls,Light Summer
1,7,"(75.54, -41.28, -5.92)",75.54,-41.28,-5.92,ls,Light Summer
1,8,"(67.68, -39.23, -4.53)",67.68,-39.23,-4.53,ls,Light Summer
1,9,"(47.68, -28.38, -3.11)",47.68,-28.38,-3.11,ls,Light Summer
2,0,"(77.24, 1.05, 4.89)",77.24,1.05,4.89,ls,Light Summer
2,1,"(52.68, 10.38, 2.08)",52.68,10.38,2.08,ls,Light Summer
2,2,"(38.6, 7.38, 2.77)",38.6,7.38,2.77,ls,Light Summer
2,3,"(33.83, 6.91, 1.94)",33.83,6.91,1.94,ls,Light Summer
2,4,"(27.26, 15.34, -1.92)",27.26,15.34,-1.92,ls,Light Summer
2,5,"(78.31, -24.12, -16.64)",78.31,-24.12,-16.64,ls,Light Summer
2,6,"(67.95, -27.67, -18.94)",67.95,-27.67,-18.94,ls,Light Summer
2,7,"(71.47, -36.56, -12.02)",71.47,-36.56,-12.02,ls,Light Summer
2,8,"(59.99, -27.77, -14.34)",59.99,-27.77,-14.34,ls,Light Summer
2,9,"(49.71, -20.19, -17.34)",49.71,-20.19,-17.34,ls,Light Summer
3,0,"(88.19, 1.67, 23.5)",88.19,1.67,23.5,ls,Light Summer
3,1,"(85.49, 1.97, 27.52)",85.49,1.97,27.52,ls,Light Summer
3,2,"(87.18, -2.73, 39.98)",87.18,-2.73,39.98,ls,Light Summer
3,3,"(89.08, 1.02, 41.66)",89.08,1.02,41.66,ls,Light Summer
3,4,"(85.66, 4.62, 44.22)",85.66,4.62,44.22,ls,Light Summer
3,5,"(78.14, -13.95, -22.69)",78.14,-13.95,-22.69,ls,Light Summer
3,6,"(71.55, -11.14, -30.2)",71.55,-11.14,-30.2,ls,Light Summer
3,7,"(58.2, -5.02, -38.38)",58.2,-5.02,-38.38,ls,Light Summer
3,8,"(42.47, 0.36, -39.19)",42.47,0.36,-39.19,ls,Light Summer
3,9,"(36.93, -1.94, -33.08)",36.93,-1.94,-33.08,ls,Light Summer
4,0,"(68.93, 42.53, 15.7)",68.93,42.53,15.7,ls,Light Summer
4,1,"(58.0, 57.8, 24.11)",58.0,57.8,24.11,ls,Light Summer
4,2,"(63.34, 54.08, 18.39)",63.34,54.08,18.39,ls,Light Summer
4,3,"(51.45, 63.72, 24.48)",51.45,63.72,24.48,ls,Light Summer
4,4,"(43.63, 55.73, 16.56)",43.63,55.73,16.56,ls,Light Summer
4,5,"(69.91, 2.36, -28.2)",69.91,2.36,-28.2,ls,Light Summer
4,6,"(62.74, 4.88, -33.91)",62.74,4.88,-33.91,ls,Light Summer
4,7,"(50.51, 8.16, -41.41)",50.51,8.16,-41.41,ls,Light Summer
4,8,"(41.13, 5.27, -37.73)",41.13,5.27,-37.73,ls,Light Summer
4,9,"(29.44, 7.77, -36.39)",29.44,7.77,-36.39,ls,Light Summer
5,0,"(72.25, 38.5, 10.98)",72.25,38.5,10.98,ls,Light Summer
5,1,"(65.7, 50.56, 11.73)",65.7,50.56,11.73,ls,Light Summer
5,2,"(59.53, 59.34, 14.7)",59.53,59.34,14.7,ls,Light Summer
5,3,"(55.83, 62.02, 18.19)",55.83,62.02,18.19,ls,Light Summer
5,4,"(46.53, 62.89, 17.97)",46.53,62.89,17.97,ls,Light Summer
5,5,"(58.65, 22.45, -32.83)",58.65,22.45,-32.83,ls,Light Summer
5,6,"(42.83, 23.95, -34.78)",42.83,23.95,-34.78,ls,Light Summer
5,7,"(34.17, 19.83, -32.34)",34.17,19.83,-32.34,ls,Light Summer
6,0,"(76.6, 27.97, 4.5)",76.6,27.97,4.5,ls,Light Summer
6,1,"(72.77, 37.89, -1.59)",72.77,37.89,-1.59,ls,Light Summer
6,2,"(68.65, 49.12, 0.8)",68.65,49.12,0.8,ls,Light Summer
6,3,"(56.02, 55.97, 2.0)",56.02,55.97,2.0,ls,Light Summer
6,4,"(45.51, 46.03, 0.47)",45.51,46.03,0.47,ls,Light Summer
