row,column,lab,l,a,b,season,Season
6,0,"(64.72, 48.92, 12.53)",64.72,48.92,12.53,ts,True Summer
6,1,"(54.17, 57.53, 18.0)",54.17,57.53,18.0,ts,True Summer
6,2,"(60.86, 46.16, 6.7)",60.86,46.16,6.7,ts,True Summer
6,3,"(42.66, 47.34, 7.34)",42.66,47.34,7.34,ts,True Summer
6,4,"(28.85, 32.14, 4.19)",28.85,32.14,4.19,ts,True Summer
0,0,"(87.77, -1.89, 7.58)",87.77,-1.89,7.58,ss,Soft Summer
0,1,"(85.09, 0.25, 9.48)",85.09,0.25,9.48,ss,Soft Summer
0,2,"(79.13, -2.12, 6.0)",79.13,-2.12,6.0,ss,Soft Summer
0,3,"(60.33, 3.77, 4.92)",60.33,3.77,4.92,ss,Soft Summer
0,4,"(44.07, 4.06, 5.27)",44.07,4.06,5.27,ss,Soft Summer
0,5,"(86.1, -5.41, 30.25)",86.1,-5.41,30.25,ss,Soft Summer
0,6,"(80.96, -6.53, 35.56)",80.96,-6.53,35.56,ss,Soft Summer
0,7,"(73.03, -25.86, 13.95)",73.03,-25.86,13.95,ss,Soft Summer
0,8,"(56.81, -22.61, 6.39)",56.81,-22.61,6.39,ss,Soft Summer
0,9,"(34.17, -14.47, 2.67)",34.17,-14.47,2.67,ss,Soft Summer
1,0,"(76.88, 1.06, 4.91)",76.88,1.06,4.91,ss,Soft Summer
1,1,"(68.42, 0.64, 8.89)",68.42,0.64,8.89,ss,Soft Summer
1,2,"(54.86, 3.23, 6.92)",54.86,3.23,6.92,ss,Soft Summer
1,3,"(51.01, 9.3, 9.02)",51.01,9.3,9.02,ss,Soft Summer
1,4,"(27.75, 8.67, 1.97)",27.75,8.67,1.97,ss,Soft Summer
1,5,"(72.13, -23.12, 1.23)",72.13,-23.12,1.23,ss,Soft Summer
1,6,"(61.18, -27.94, 5.59)",61.18,-27.94,5.59,ss,Soft Summer
1,7,"(43.43, -20.06, 3.88)",43.43,-20.06,3.88,ss,Soft Summer
1,8,"(50.12, -22.77, -1.17)",50.12,-22.77,-1.17,ss,Soft Summer
1,9,"(32.11, -13.66, -1.64)",32.11,-13.66,-1.64,ss,Soft Summer
2,0,"(71.72, -0.36, 1.02)",71.72,-0.36,1.02,ss,Soft Summer
2,1,"(45.04, 0.06, -1.23)",45.04,0.06,-1.23,ss,Soft Summer
2,2,"(51.39, -0.56, 2.86)",51.39,-0.56,2.86,ss,Soft Summer
2,3,"(37.12, 2.88, 2.34)",37.12,2.88,2.34,ss,Soft Summer
2,4,"(26.78, 1.08, -0.3)",26.78,1.08,-0.3,ss,Soft Summer
2,5,"(71.81, -18.95, -11.27)",71.81,-18.95,-11.27,ss,Soft Summer
2,6,"(58.69, -17.88, -11.06)",58.69,-17.88,-11.06,ss,Soft Summer
2,7,"(45.89, -13.11, -7.98)",45.89,-13.11,-7.98,ss,Soft Summer
2,8,"(55.29, -18.91, -4.16)",55.29,-18.91,-4.16,ss,Soft Summer
2,9,"(32.09, -13.0, -6.77)",32.09,-13.0,-6.77,ss,Soft Summer
3,0,"(80.47, 22.06, 5.25)",80.47,22.06,5.25,ss,Soft Summer
3,1,"(72.2, 24.78, 11.69)",72.2,24.78,11.69,ss,Soft Summer
3,2,"(63.57, 23.72, 9.02)",63.57,23.72,9.02,ss,Soft Summer
3,3,"(59.16, 20.58, 5.84)",59.16,20.58,5.84,ss,Soft Summer
3,4,"(30.88, 26.83, 4.47)",30.88,26.83,4.47,ss,Soft Summer
3,5,"(74.74, -12.84, -11.09)",74.74,-12.84,-11.09,ss,Soft Summer
3,6,"(66.14, -15.8, -11.55)",66.14,-15.8,-11.55,ss,Soft Summer
3,7,"(50.43, -14.23, -13.8)",50.43,-14.23,-13.8,ss,Soft Summer
3,8,"(49.12, -6.8, -18.09)",49.12,-6.8,-18.09,ss,Soft Summer
3,9,"(27.97, -4.3, -11.03)",27.97,-4.3,-11.03,ss,Soft Summer
4,0,"(74.64, 35.78, 8.91)",74.64,35.78,8.91,ss,Soft Summer
4,1,"(66.36, 49.25, 13.83)",66.36,49.25,13.83,ss,Soft Summer
4,2,"(56.42, 55.75, 15.89)",56.42,55.75,15.89,ss,Soft Summer
4,3,"(47.63, 52.58, 12.44)",47.63,52.58,12.44,ss,Soft Summer
4,4,"(37.7, 42.16, 13.06)",37.7,42.16,13.06,ss,Soft Summer
4,5,"(71.21, 0.77, -12.42)",71.21,0.77,-12.42,ss,Soft Summer
4,6,"(60.87, 4.28, -19.36)",60.87,4.28,-19.36,ss,Soft Summer
4,7,"(52.41, 7.39, -20.98)",52.41,7.39,-20.98,ss,Soft Summer
4,8,"(40.77, 5.12, -16.83)",40.77,5.12,-16.83,ss,Soft Summer
4,9,"(23.23, 4.88, -12.34)",23.23,4.88,-12.34,ss,Soft Summer
5,0,"(75.43, 36.88, -0.36)",75.43,36.88,-0.36,ss,Soft Summer
5,1,"(65.83, 42.97, 6.02)",65.83,42.97,6.02,ss,Soft Summer
5,2,"(53.89, 56.27, 7.39)",53.89,56.27,7.39,ss,Soft Summer
5,3,"(39.54, 46.17, 8.94)",39.54,46.17,8.94,ss,Soft Summer
5,4,"(26.42, 23.16, 2.31)",26.42,23.16,2.31,ss,Soft Summer
5,5,"(65.11, 4.84, -9.42)",65.11,4.84,-9.42,ss,Soft Summer
5,6,"(53.11, 5.38, -9.98)",53.11,5.38,-9.98,ss,Soft Summer
5,7,"(32.37, 9.27, -8.53)",32.37,9.27,-8.53,ss,Soft Summer
6,0,"(73.22, 28.39, -1.67)",73.22,28.39,-1.67,ss,Soft Summer
6,1,"(64.77, 28.77, -0.45)",64.77,28.77,-0.45,ss,Soft Summer
6,2,"(54.3, 27.7, 1.64)",54.3,27.7,1.64,ss,Soft Summer
6,3,"(39.18, 29.44, -0.25)",39.18,29.44,-0.25,ss,Soft Summer
6,4,"(25.18, 16.23, -5.77)",25.18,16.23,-5.77,ss,Soft Summer
0,0,"(87.44, -1.22, 2.33)",87.44,-1.22,2.33,sa,Soft Autumn
0,1,"(88.17, -1.56, 6.59)",88.17,-1.56,6.59,sa,Soft Autumn
0,2,"(85.9, -0.53, 5.89)",85.9,-0.53,5.89,sa,Soft Autumn
0,3,"(77.17, -3.58, 12.83)",77.17,-3.58,12.83,sa,Soft Autumn
0,4,"(71.99, -2.27, 14.03)",71.99,-2.27,14.03,sa,Soft Autumn
0,5,"(84.64, 12.25, 11.22)",84.64,12.25,11.22,sa,Soft Autumn
0,6,"(76.43, 28.67, 18.5)",76.43,28.67,18.5,sa,Soft Autumn
0,7,"(64.98, 40.72, 17.23)",64.98,40.72,17.23,sa,Soft Autumn
0,8,"(50.82, 45.31, 21.64)",50.82,45.31,21.64,sa,Soft Autumn
0,9,"(34.47, 42.81, 19.3)",34.47,42.81,19.3,sa,Soft Autumn
1,0,"(78.71, -0.55, 4.88)",78.71,-0.55,4.88,sa,Soft Autumn
1,1,"(62.66, -1.45, 6.55)",62.66,-1.45,6.55,sa,Soft Autumn
1,2,"(42.29, -0.17, 4.38)",42.29,-0.17,4.38,sa,Soft Autumn
1,3,"(56.35, -1.66, 0.03)",56.35,-1.66,0.03,sa,Soft Autumn
1,4,"(27.78, -2.39, -0.83)",27.78,-2.39,-0.83,sa,Soft Autumn
1,5,"(81.9, 27.75, 1.58)",81.9,27.75,1.58,sa,Soft Autumn
1,6,"(76.91, 32.78, 5.08)",76.91,32.78,5.08,sa,Soft Autumn
1,7,"(61.88, 49.39, 10.05)",61.88,49.39,10.05,sa,Soft Autumn
1,8,"(49.1, 53.27, 14.62)",49.1,53.27,14.62,sa,Soft Autumn
1,9,"(32.59, 36.38, 11.17)",32.59,36.38,11.17,sa,Soft Autumn
2,0,"(67.55, -6.17, 17.45)",67.55,-6.17,17.45,sa,Soft Autumn
2,1,"(51.86, -6.56, 18.59)",51.86,-6.56,18.59,sa,Soft Autumn
2,2,"(33.72, 0.22, 7.98)",33.72,0.22,7.98,sa,Soft Autumn
2,3,"(59.2, -12.56, 19.09)",59.2,-12.56,19.09,sa,Soft Autumn
2,4,"(27.81, -5.42, 7.66)",27.81,-5.42,7.66,sa,Soft Autumn
2,5,"(80.17, -24.89, 6.03)",80.17,-24.89,6.03,sa,Soft Autumn
2,6,"(71.19, -27.2, 5.81)",71.19,-27.2,5.81,sa,Soft Autumn
2,7,"(50.71, -24.92, 6.12)",50.71,-24.92,6.12,sa,Soft Autumn
2,8,"(52.61, -29.03, -1.36)",52.61,-29.03,-1.36,sa,Soft Autumn
2,9,"(24.4, -14.08, 0.53)",24.4,-14.08,0.53,sa,Soft Autumn
3,0,"(73.49, 9.88, 26.27)",73.49,9.88,26.27,sa,Soft Autumn
3,1,"(65.81, 7.41, 26.06)",65.81,7.41,26.06,sa,Soft Autumn
3,2,"(52.92, 9.64, 19.92)",52.92,9.64,19.92,sa,Soft Autumn
3,3,"(38.87, 7.28, 15.52)",38.87,7.28,15.52,sa,Soft Autumn
3,4,"(23.56, 6.08, 3.02)",23.56,6.08,3.02,sa,Soft Autumn
3,5,"(72.1, -33.94, -2.27)",72.1,-33.94,-2.27,sa,Soft Autumn
3,6,"(61.07, -32.5, -1.44)",61.07,-32.5,-1.44,sa,Soft Autumn
3,7,"(36.38, -23.05, -3.55)",36.38,-23.05,-3.55,sa,Soft Autumn
3,8,"(42.3, -31.34, 11.66)",42.3,-31.34,11.66,sa,Soft Autumn
3,9,"(23.02, -18.58, 9.72)",23.02,-18.58,9.72,sa,Soft Autumn
4,0,"(45.97, 17.11, 14.98)",45.97,17.11,14.98,sa,Soft Autumn
4,1,"(41.28, 25.02, 9.62)",41.28,25.02,9.62,sa,Soft Autumn
4,2,"(28.86, 19.2, 12.41)",28.86,19.2,12.41,sa,Soft Autumn
4,3,"(25.96, 14.78, 4.09)",25.96,14.78,4.09,sa,Soft Autumn
4,4,"(23.35, 15.41, 0.89)",23.35,15.41,0.89,sa,Soft Autumn
4,5,"(66.72, -14.75, -22.89)",66.72,-14.75,-22.89,sa,Soft Autumn
4,6,"(48.73, -3.67, -33.92)",48.73,-3.67,-33.92,sa,Soft Autumn
4,7,"(29.75, -0.97, -26.83)",29.75,-0.97,-26.83,sa,Soft Autumn
4,8,"(47.78, 6.8, -33.58)",47.78,6.8,-33.58,sa,Soft Autumn
4,9,"(19.87, 12.64, -27.66)",19.87,12.64,-27.66,sa,Soft Autumn
5,0,"(83.37, 1.92, 29.78)",83.37,1.92,29.78,sa,Soft Autumn
5,1,"(83.19, 9.12, 28.16)",83.19,9.12,28.16,sa,Soft Autumn
5,2,"(82.83, 4.19, 31.17)",82.83,4.19,31.17,sa,Soft Autumn
5,3,"(76.95, 6.7, 35.45)",76.95,6.7,35.45,sa,Soft Autumn
5,4,"(70.75, 0.84, 29.98)",70.75,0.84,29.98,sa,Soft Autumn
5,5,"(61.08, 7.86, -25.22)",61.08,7.86,-25.22,sa,Soft Autumn
5,6,"(41.3, 9.41, -28.41)",41.3,9.41,-28.41,sa,Soft Autumn
5,7,"(21.8, 7.7, -19.27)",21.8,7.7,-19.27,sa,Soft Autumn
6,0,"(71.14, 29.88, 14.11)",71.14,29.88,14.11,sa,Soft Autumn
6,1,"(63.32, 43.77, 19.17)",63.32,43.77,19.17,sa,Soft Autumn
6,2,"(47.09, 42.42, 14.36)",47.09,42.42,14.36,sa,Soft Autumn
6,3,"(61.46, 39.5, 20.92)",61.46,39.5,20.92,sa,Soft Autumn
6,4,"(42.85, 33.58, 16.47)",42.85,33.58,16.47,sa,Soft Autumn
0,0,"(87.92, 1.44, 13.12)",87.92,1.44,13.12,ta,True Autumn
0,1,"(84.09, 1.83, 13.38)",84.09,1.83,13.38,ta,True Autumn
0,2,"(79.85, 0.56, 12.5)",79.85,0.56,12.5,ta,True Autumn
0,3,"(87.66, -0.7, 23.22)",87.66,-0.7,23.22,ta,True Autumn
0,4,"(85.27, 2.3, 31.39)",85.27,2.3,31.39,ta,True Autumn
0,5,"(74.31, 32.92, 31.89)",74.31,32.92,31.89,ta,True Autumn
0,6,"(64.83, 50.95, 26.67)",64.83,50.95,26.67,ta,True Autumn
0,7,"(64.64, 50.45, 27.52)",64.64,50.45,27.52,ta,True Autumn
0,8,"(57.15, 57.56, 36.7)",57.15,57.56,36.7,ta,True Autumn
0,9,"(46.82, 62.52, 35.88)",46.82,62.52,35.88,ta,True Autumn
1,0,"(85.46, 9.36, 13.94)",85.46,9.36,13.94,ta,True Autumn
1,1,"(81.17, 17.84, 19.12)",81.17,17.84,19.12,ta,True Autumn
1,2,"(75.37, -2.83, 6.95)",75.37,-2.83,6.95,ta,True Autumn
1,3,"(56.18, 0.75, 3.89)",56.18,0.75,3.89,ta,True Autumn
1,4,"(31.66, 8.36, 3.88)",31.66,8.36,3.88,ta,True Autumn
1,5,"(67.4, 35.56, 17.75)",67.4,35.56,17.75,ta,True Autumn
1,6,"(59.19, 52.12, 16.89)",59.19,52.12,16.89,ta,True Autumn
1,7,"(38.97, 44.72, 13.75)",38.97,44.72,13.75,ta,True Autumn
1,8,"(27.65, 33.47, 13.14)",27.65,33.47,13.14,ta,True Autumn
1,9,"(15.99, 14.11, 0.94)",15.99,14.11,0.94,ta,True Autumn
2,0,"(76.74, -5.72, 13.23)",76.74,-5.72,13.23,ta,True Autumn
2,1,"(56.29, -5.05, 11.14)",56.29,-5.05,11.14,ta,True Autumn
2,2,"(51.95, 2.78, 12.56)",51.95,2.78,12.56,ta,True Autumn
2,3,"(40.36, 1.84, 8.33)",40.36,1.84,8.33,ta,True Autumn
2,4,"(29.74, -0.08, 6.03)",29.74,-0.08,6.03,ta,True Autumn
2,5,"(74.63, -6.86, 28.98)",74.63,-6.86,28.98,ta,True Autumn
2,6,"(65.58, -13.55, 28.97)",65.58,-13.55,28.97,ta,True Autumn
2,7,"(62.46, -7.5, 45.16)",62.46,-7.5,45.16,ta,True Autumn
2,8,"(40.08, -1.16, 29.69)",40.08,-1.16,29.69,ta,True Autumn
2,9,"(22.55, -1.23, 12.72)",22.55,-1.23,12.72,ta,True Autumn
3,0,"(72.55, 6.03, 24.3)",72.55,6.03,24.3,ta,True Autumn
3,1,"(62.02, 6.03, 23.52)",62.02,6.03,23.52,ta,True Autumn
3,2,"(43.99, 4.81, 12.42)",43.99,4.81,12.42,ta,True Autumn
3,3,"(27.7, 6.19, 7.11)",27.7,6.19,7.11,ta,True Autumn
3,4,"(22.9, 7.33, 0.7)",22.9,7.33,0.7,ta,True Autumn
3,5,"(67.41, -28.67, 31.03)",67.41,-28.67,31.03,ta,True Autumn
3,6,"(42.36, -29.94, 29.44)",42.36,-29.94,29.44,ta,True Autumn
3,7,"(44.23, -35.38, 18.92)",44.23,-35.38,18.92,ta,True Autumn
3,8,"(31.49, -24.92, 11.2)",31.49,-24.92,11.2,ta,True Autumn
3,9,"(20.24, -13.09, 5.89)",20.24,-13.09,5.89,ta,True Autumn
4,0,"(76.25, 16.28, 29.77)",76.25,16.28,29.77,ta,True Autumn
4,1,"(67.97, 21.95, 24.03)",67.97,21.95,24.03,ta,True Autumn
4,2,"(49.26, 26.36, 20.53)",49.26,26.36,20.53,ta,True Autumn
4,3,"(36.69, 25.83, 13.58)",36.69,25.83,13.58,ta,True Autumn
4,4,"(19.77, 13.86, 4.45)",19.77,13.86,4.45,ta,True Autumn
4,5,"(65.62, -29.59, -13.64)",65.62,-29.59,-13.64,ta,True Autumn
4,6,"(46.09, -23.62, -9.62)",46.09,-23.62,-9.62,ta,True Autumn
4,7,"(67.76, -24.36, -19.19)",67.76,-24.36,-19.19,ta,True Autumn
4,8,"(44.04, -17.66, -17.8)",44.04,-17.66,-17.8,ta,True Autumn
4,9,"(27.5, -11.56, -11.84)",27.5,-11.56,-11.84,ta,True Autumn
5,0,"(81.16, 8.02, 52.52)",81.16,8.02,52.52,ta,True Autumn
5,1,"(77.15, 17.09, 49.3)",77.15,17.09,49.3,ta,True Autumn
5,2,"(70.23, 12.02, 44.78)",70.23,12.02,44.78,ta,True Autumn
5,3,"(57.52, 13.41, 38.41)",57.52,13.41,38.41,ta,True Autumn
5,4,"(35.22, 7.42, 21.42)",35.22,7.42,21.42,ta,True Autumn
5,5,"(52.4, 0.56, -28.06)",52.4,0.56,-28.06,ta,True Autumn
5,6,"(28.99, 7.38, -26.7)",28.99,7.38,-26.7,ta,True Autumn
5,7,"(42.4, 17.41, -22.33)",42.4,17.41,-22.33,ta,True Autumn
5,8,"(25.87, 12.14, -14.73)",25.87,12.14,-14.73,ta,True Autumn
6,0,"(71.5, 26.55, 42.94)",71.5,26.55,42.94,ta,True Autumn
6,1,"(61.34, 32.25, 43.05)",61.34,32.25,43.05,ta,True Autumn
6,2,"(59.41, 40.11, 39.91)",59.41,40.11,39.91,ta,True Autumn
6,3,"(45.55, 44.89, 32.05)",45.55,44.89,32.05,ta,True Autumn
6,4,"(31.57, 34.61, 18.7)",31.57,34.61,18.7,ta,True Autumn
0,0,"(86.19, 1.75, 12.19)",86.19,1.75,12.19,da,Dark Autumn
0,1,"(76.87, 3.28, 14.7)",76.87,3.28,14.7,da,Dark Autumn
0,2,"(84.89, 3.19, 19.88)",84.89,3.19,19.88,da,Dark Autumn
0,3,"(83.58, 6.61, 22.83)",83.58,6.61,22.83,da,Dark Autumn
0,4,"(71.72, 7.16, 25.33)",71.72,7.16,25.33,da,Dark Autumn
0,5,"(57.39, 40.72, 22.61)",57.39,40.72,22.61,da,Dark Autumn
0,6,"(50.37, 61.2, 27.02)",50.37,61.2,27.02,da,Dark Autumn
0,7,"(43.72, 55.69, 19.78)",43.72,55.69,19.78,da,Dark Autumn
0,8,"(36.89, 48.78, 14.67)",36.89,48.78,14.67,da,Dark Autumn
0,9,"(18.75, 20.33, 3.8)",18.75,20.33,3.8,da,Dark Autumn
1,0,"(85.9, -2.14, 21.2)",85.9,-2.14,21.2,da,Dark Autumn
1,1,"(83.88, -8.67, 22.88)",83.88,-8.67,22.88,da,Dark Autumn
1,2,"(86.9, 0.28, 27.38)",86.9,0.28,27.38,da,Dark Autumn
1,3,"(82.72, 18.8, 13.38)",82.72,18.8,13.38,da,Dark Autumn
1,4,"(80.7, -18.59, -3.25)",80.7,-18.59,-3.25,da,Dark Autumn
1,5,"(73.38, -16.86, 25.94)",73.38,-16.86,25.94,da,Dark Autumn
1,6,"(74.21, -19.52, 41.25)",74.21,-19.52,41.25,da,Dark Autumn
1,7,"(61.76, -16.31, 33.38)",61.76,-16.31,33.38,da,Dark Autumn
1,8,"(41.72, -11.16, 25.34)",41.72,-11.16,25.34,da,Dark Autumn
1,9,"(19.57, -3.75, 3.75)",19.57,-3.75,3.75,da,Dark Autumn
2,0,"(77.29, 1.39, 3.89)",77.29,1.39,3.89,da,Dark Autumn
2,1,"(56.35, 1.52, 4.16)",56.35,1.52,4.16,da,Dark Autumn
2,2,"(34.56, 2.72, 2.95)",34.56,2.72,2.95,da,Dark Autumn
2,3,"(62.18, 4.56, 10.5)",62.18,4.56,10.5,da,Dark Autumn
2,4,"(34.25, 6.88, 1.92)",34.25,6.88,1.92,da,Dark Autumn
2,5,"(73.06, -33.8, -7.92)",73.06,-33.8,-7.92,da,Dark Autumn
2,6,"(59.83, -32.83, -4.98)",59.83,-32.83,-4.98,da,Dark Autumn
2,7,"(55.87, -30.33, 1.14)",55.87,-30.33,1.14,da,Dark Autumn
2,8,"(38.45, -23.91, 4.42)",38.45,-23.91,4.42,da,Dark Autumn
2,9,"(22.81, -12.84, -0.47)",22.81,-12.84,-0.47,da,Dark Autumn
3,0,"(18.71, 9.45, -3.53)",18.71,9.45,-3.53,da,Dark Autumn
3,1,"(20.03, -10.72, -0.5)",20.03,-10.72,-0.5,da,Dark Autumn
3,2,"(21.58, 3.39, -21.66)",21.58,3.39,-21.66,da,Dark Autumn
3,3,"(21.58, 3.39, -21.66)",21.58,3.39,-21.66,da,Dark Autumn
3,4,"(14.65, 0.09, 0.05)",14.65,0.09,0.05,da,Dark Autumn
3,5,"(70.21, -20.72, -18.11)",70.21,-20.72,-18.11,da,Dark Autumn
3,6,"(58.25, -20.34, -24.31)",58.25,-20.34,-24.31,da,Dark Autumn
3,7,"(44.6, -16.23, -19.89)",44.6,-16.23,-19.89,da,Dark Autumn
3,8,"(39.01, -17.19, -14.33)",39.01,-17.19,-14.33,da,Dark Autumn
3,9,"(24.63, -15.09, -1.12)",24.63,-15.09,-1.12,da,Dark Autumn
4,0,"(82.5, 8.31, 40.14)",82.5,8.31,40.14,da,Dark Autumn
4,1,"(72.61, 6.75, 39.52)",72.61,6.75,39.52,da,Dark Autumn
4,2,"(61.36, 10.61, 32.64)",61.36,10.61,32.64,da,Dark Autumn
4,3,"(73.92, 19.8, 33.31)",73.92,19.8,33.31,da,Dark Autumn
4,4,"(57.76, 25.53, 25.48)",57.76,25.53,25.48,da,Dark Autumn
4,5,"(73.6, 22.2, -5.64)",73.6,22.2,-5.64,da,Dark Autumn
4,6,"(58.69, 35.11, -7.88)",58.69,35.11,-7.88,da,Dark Autumn
4,7,"(44.25, 37.25, -7.19)",44.25,37.25,-7.19,da,Dark Autumn
4,8,"(30.33, 29.55, -4.83)",30.33,29.55,-4.83,da,Dark Autumn
4,9,"(25.9, -2.28, -18.81)",25.9,-2.28,-18.81,da,Dark Autumn
5,0,"(68.49, 43.34, 16.2)",68.49,43.34,16.2,da,Dark Autumn
5,1,"(51.6, 52.75, 21.84)",51.6,52.75,21.84,da,Dark Autumn
5,2,"(64.41, 38.22, 29.55)",64.41,38.22,29.55,da,Dark Autumn
5,3,"(53.51, 34.19, 23.86)",53.51,34.19,23.86,da,Dark Autumn
5,4,"(30.1, 26.34, 12.44)",30.1,26.34,12.44,da,Dark Autumn
5,5,"(56.82, -0.45, 29.48)",56.82,-0.45,29.48,da,Dark Autumn
5,6,"(48.54, 0.56, 26.22)",48.54,0.56,26.22,da,Dark Autumn
5,7,"(29.43, -0.27, 13.92)",29.43,-0.27,13.92,da,Dark Autumn
5,8,"(71.37, 0.03, -1.14)",71.37,0.03,-1.14,da,Dark Autumn
5,9,"(80.68, 6.27, 47.47)",80.68,6.27,47.47,da,Dark Autumn
6,0,"(71.01, 36.39, 17.45)",71.01,36.39,17.45,da,Dark Autumn
6,1,"(64.85, 43.48, 24.19)",64.85,43.48,24.19,da,Dark Autumn
6,2,"(50.94, 45.52, 23.0)",50.94,45.52,23.0,da,Dark Autumn
6,3,"(39.33, 39.72, 14.09)",39.33,39.72,14.09,da,Dark Autumn
6,4,"(26.94, 32.06, 11.39)",26.94,32.06,11.39,da,Dark Autumn
0,0,"(100.0, 0.0, 0.0)",100.0,0.0,0.0,cw,Clear Winter
0,1,"(89.61, -1.39, 6.08)",89.61,-1.39,6.08,cw,Clear Winter
0,2,"(81.74, -1.41, 3.97)",81.74,-1.41,3.97,cw,Clear Winter
0,3,"(64.67, -0.38, 2.22)",64.67,-0.38,2.22,cw,Clear Winter
0,4,"(39.47, 0.2, 3.3)",39.47,0.2,3.3,cw,Clear Winter
0,5,"(64.34, 50.67, -23.38)",64.34,50.67,-23.38,cw,Clear Winter
0,6,"(42.63, 47.75, -26.95)",42.63,47.75,-26.95,cw,Clear Winter
0,7,"(28.27, 34.33, -25.58)",28.27,34.33,-25.58,cw,Clear Winter
0,8,"(38.09, 27.2, -40.61)",38.09,27.2,-40.61,cw,Clear Winter
0,9,"(22.72, 19.41, -36.09)",22.72,19.41,-36.09,cw,Clear Winter
1,0,"(83.55, -0.86, 0.25)",83.55,-0.86,0.25,cw,Clear Winter
1,1,"(76.75, -2.42, 0.28)",76.75,-2.42,0.28,cw,Clear Winter
1,2,"(64.99, -4.16, 1.5)",64.99,-4.16,1.5,cw,Clear Winter
1,3,"(27.34, -2.41, -0.83)",27.34,-2.41,-0.83,cw,Clear Winter
1,4,"(6.43, 0.0, 0.0)",6.43,0.0,0.0,cw,Clear Winter
1,5,"(75.32, -55.09, 26.2)",75.32,-55.09,26.2,cw,Clear Winter
1,6,"(60.63, -53.84, 32.52)",60.63,-53.84,32.52,cw,Clear Winter
1,7,"(37.25, -34.33, 17.08)",37.25,-34.33,17.08,cw,Clear Winter
1,8,"(61.63, -39.14, 0.44)",61.63,-39.14,0.44,cw,Clear Winter
1,9,"(31.41, -20.83, -1.52)",31.41,-20.83,-1.52,cw,Clear Winter
2,0,"(90.32, -5.44, 29.95)",90.32,-5.44,29.95,cw,Clear Winter
2,1,"(86.84, 13.09, 5.44)",86.84,13.09,5.44,cw,Clear Winter
2,2,"(87.25, -17.64, -1.94)",87.25,-17.64,-1.94,cw,Clear Winter
2,3,"(88.37, 19.33, -7.55)",88.37,19.33,-7.55,cw,Clear Winter
2,4,"(84.96, 7.3, -12.95)",84.96,7.3,-12.95,cw,Clear Winter
2,5,"(78.44, -31.95, -16.53)",78.44,-31.95,-16.53,cw,Clear Winter
2,6,"(59.73, -29.86, -11.92)",59.73,-29.86,-11.92,cw,Clear Winter
2,7,"(74.68, -22.39, -28.16)",74.68,-22.39,-28.16,cw,Clear Winter
2,8,"(61.65, -16.2, -33.06)",61.65,-16.2,-33.06,cw,Clear Winter
2,9,"(37.46, -9.84, -24.34)",37.46,-9.84,-24.34,cw,Clear Winter
3,0,"(87.9, -5.2, 51.92)",87.9,-5.2,51.92,cw,Clear Winter
3,1,"(87.8, 0.67, 56.72)",87.8,0.67,56.72,cw,Clear Winter
3,2,"(84.52, 5.14, 57.03)",84.52,5.14,57.03,cw,Clear Winter
3,3,"(79.73, -32.33, 57.41)",79.73,-32.33,57.41,cw,Clear Winter
3,4,"(63.4, -26.86, 40.77)",63.4,-26.86,40.77,cw,Clear Winter
3,5,"(70.81, -9.39, -29.12)",70.81,-9.39,-29.12,cw,Clear Winter
3,6,"(34.92, 15.14, -47.69)",34.92,15.14,-47.69,cw,Clear Winter
3,7,"(59.8, -1.38, -35.81)",59.8,-1.38,-35.81,cw,Clear Winter
3,8,"(37.57, 12.25, -48.19)",37.57,12.25,-48.19,cw,Clear Winter
3,9,"(20.65, 9.22, -30.41)",20.65,9.22,-30.41,cw,Clear Winter
4,0,"(65.89, 46.88, 15.91)",65.89,46.88,15.91,cw,Clear Winter
4,1,"(54.71, 59.5, 24.75)",54.71,59.5,24.75,cw,Clear Winter
4,2,"(48.0, 60.69, 32.64)",48.0,60.69,32.64,cw,Clear Winter
4,3,"(51.53, 62.55, 10.66)",51.53,62.55,10.66,cw,Clear Winter
4,4,"(35.78, 48.38, 9.81)",35.78,48.38,9.81,cw,Clear Winter
4,5,"(53.16, 8.75, -42.89)",53.16,8.75,-42.89,cw,Clear Winter
4,6,"(34.92, 15.14, -47.69)",34.92,15.14,-47.69,cw,Clear Winter
4,7,"(18.76, 7.95, -25.48)",18.76,7.95,-25.48,cw,Clear Winter
4,8,"(13.69, 6.2, 0.91)",13.69,6.2,0.91,cw,Clear Winter
4,9,"(11.99, 3.36, -0.25)",11.99,3.36,-0.25,cw,Clear Winter
5,0,"(65.79, 52.02, -2.36)",65.79,52.02,-2.36,cw,Clear Winter
5,1,"(53.19, 59.5, 10.03)",53.19,59.5,10.03,cw,Clear Winter
5,2,"(55.56, 60.5, 14.19)",55.56,60.5,14.19,cw,Clear Winter
5,3,"(46.04, 63.12, 23.44)",46.04,63.12,23.44,cw,Clear Winter
5,4,"(30.34, 42.28, 12.72)",30.34,42.28,12.72,cw,Clear Winter
5,5,"(55.69, 20.16, -37.0)",55.69,20.16,-37.0,cw,Clear Winter
5,6,"(41.75, 23.0, -41.3)",41.75,23.0,-41.3,cw,Clear Winter
5,7,"(18.59, 13.58, -29.73)",18.59,13.58,-29.73,cw,Clear Winter
6,0,"(66.15, 54.36, -15.95)",66.15,54.36,-15.95,cw,Clear Winter
6,1,"(50.2, 58.09, -15.92)",50.2,58.09,-15.92,cw,Clear Winter
